video_id,title,channel,published_at,comment
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,Chinchanchu ❤
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,I love watching Ur expressions love ❤
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,I want I’m Xenia 5
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,Rysa 12 ЛИПЕНЬ ty tam proszęczke
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,🥹🫸🏿🫷🏿💅🩸🖌️
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,"him: i got it
Me : u got it? bro thats craaazyyyyy"
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,I love you ❤🎉😊.
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,Cest du rouge genre mercurochrome !
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,Круто😊
RCZQxf18CIw,면봉처럼 생긴 틴트?,승비니 Seungbini,2023-04-22T09:55:00Z,Lip red 😅❌
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,"✔️풀영상은 ‘재밌는 거 올라온다’ 유튜브 채널에서 볼 수 있습니다.
(아침먹고가2 EP.1 츄 편)
📌모든 영상은 원본 영상으로 보시는 걸 추천드립니다."
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,무대 모습도 화장 진하게 안한게 티가 다 나서 쌩얼도 당연히 똑같을거라고 생각했음 츄는
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,전자 담배드립은 미친건갘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,역시 저형 개그맨이야
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,아이코스같긴해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,진짜 99즈는 무해의 아이콘인듯
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,"혹시 연세가 어뜨케 되십니까 ? ㅋㅋㅋ
무릎에서 우드득 소리갘ㅋㅋㅋㅋ"
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,10~20대 땐 화장 안해도 예쁨
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,대답.
YOMePICNu-0,일주일 내내 틴트 바르고 잔 츄,핵꿀잼,2023-10-26T04:00:28Z,그 무릎소리는 07년생 제게도 나고있습니다...ㅠ
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,꿀팁감사합니다❤
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,물틴트 뭐쓰신거에요ㅜㅠ 색 뭐됴..
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,저런 진한색을 애초에 안바름..
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,립정보좀
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,근데 저는 물틴트를 바르면 저렇게 예쁘게 발리지르 않고 되게 윗입술 아랫입술 색깔다르고 입술에 염색되는곳은 되고 안되는곳은 안되서 김치국물 부분부분 얼룩덜룩 물든것처럼 되던데ㅠㅠㅠㅠㅠㅠ
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,이렇게 했는데 쿠션이랑 립이랑 뭉치기도 하더라구요 어떡하죠? ㅠㅠ
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,와 진짜 꿀팁이네요👍👍👍
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,물틴트 정보 알려즈새용
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,이 헤메코 무드 너무 이쁘므❤❤
PRKLH-frpGg,립 지워지는 사람들께 드리는 꿀팁,시네 si-ne,2023-12-22T01:50:18Z,언니 진짜 이쁘심.. ㅠㅠ
